id,title,imdb_index,kind_id,production_year,imdb_id,phonetic_code,episode_of_id,season_nr,episode_nr,series_years,md5sum
11,kyksxtvyfaihmcqxlkrdfvqjxqyfdqexdmygqfvnoilfcxpvqkycogczwyzwnotgalvmfsaqgtotodtiqoxfuuubikylubenavynnufojlkmzkqqbkaowbnvcqesnpxdiwaikuiygclonvzjchuytzosilpbsxejaxcbesejnsjfnsqgiswdutbiwpzvtwqdhnhetzhj,dpjtdoqrfcyw,335,503,424,qklrk,383,451,958,bhkemapssvpeczuomwtxvfxeuavjntxrywcydcaxbqdahbhan,djuzleiixgjfjzpfmgypfvxullosqtzz
12,hsasagnfwryvnqvkzdwkfayrvczxsevfdbnclgcfbtrknifdzffnugmpwydnnpxpmhfukbzsniijifiqkcvrlnhgcrmjsbrxrnqfuljectmvmjsmztbbdgccwldkjmtmwxvdiavcuonwuuteczigaahvywwsmwpyfexxzvbqquyanrrwrkbkdeclkzaguizrmhroiiey,lhdowdksmncb,590,117,220,rtxzr,882,801,547,jloyqrkqvmwbzohqnynllygzooayfsqznlhkpehspcsibnurs,ngemlgqnphayrmzjkkfufyoxiodyrhow
13,alwwiyvqsiomsnaywmkeizbjubotycwjbuqtyaqpsensyfxlizkeajmonrbpjelehlmbfrswofxhtqhlpfyhudwbmkuhrzfsyxaujsgfnxfqrbafvszzkoyqvrhmnzojgitqwgkbsaipgldtvnhwfsjlqizfugfqvkkwcnpppneumehiecbkztfzrnzzwgourimreoch,jcfjxjdpbvsp,203,204,193,gbwyv,609,852,366,jboolprzyvnincebnlrqaakvjwtjieeyyjetzngoluujffgtr,bslwxyxeklkpeildihyfispwlzesvctb
14,hrzrzdscbiqfpsbntanvutsmnvndfwgfejtjknwnejznnrfoxcxafxidltgixrnlqezxqdkmntvghllayqmezphtngsoavnikcodchygllhmygbjmnaldukmahuekbgmthynprtqqkgolgokozylnnrtqboiqjcewloaalaspvkxhxwridrogrrdjmyleluqslvfyjpf,cirfciddfvte,333,991,707,yzpjd,328,35,319,xcbelthmivqhgzejpkwbpxyjlhxjgyyszaaqqawicijvzeirv,sjafqfwiabdtvjmfuzubweatpobgnqxr
15,wcxmgwebwrdvjfydoxizjofsadouyxafaolcgxldyaksmedouffkvbuidqnhuuacnbmpoinwvnbewslzwvthypdjrmlwyzydveohfttafmepccqtazlexbgbyeisayjvknizmhvcarntozycpahdckkisibakjenapwkqmmsihzjcodsmyompaoninheympmfrbdqklj,vjccvtelovhk,99,244,601,bpgnr,415,452,420,mcffvmefhtdnhhwbxbtsuedlnqwdxnkxeglvhxfkkasssqftl,wqbsogckheugzprmbyszddkrhbekltmj
16,pfkfqhvhlgeutvbqaaqukjsdyhjnnnexxindveawyfojmophywfjaogabnaqxcaegydcorxbjgioaegoiduwzhithxunkpjdfgsisahokobkugohrniikshowqozznylqlselwpftippvugvrctoogpblvnzsuijvmnigeclgmvairguchjrjadteeeftnhldtmxokep,rdncjdxzgcuj,368,318,44,mnlyf,446,397,300,suquhjnbbrxgvxxasobemjcryzdliworgrjisacfnnhuqfzip,cerjjpgtrnwtgecsoorvhypvgsivbrvd
17,hgibmsitmraidiznceqdakgaymjxhbyhtkusmrdujogrfhxgmqypnobrdtvrvucryepighhpdgqdbapdfmbsryuxvafpkhcmiuzzpgwxkbsmryxreqcbgpajuaeeyjxqsmecsbghqkvgahacjewzagjaczwztneicqogqivzqlximlyzzjksjhuadlbgakkewcwtopvz,yaodngouvidx,74,172,993,mgcxc,497,397,476,qvuotbtxcdudofvykxwzdpwmchxkughsbyoxumrbstixyqfmf,beqzcdrxthmcruvzrdluksymilshzfaf
18,pstlighmmauhrxgnfrysvgeyjevxycwmhzsqlippcajuszurqnwtnlyflsbywfsslzbsmwajgrcfxttuysaqwblrxvjummpscdqekbprmfnbruxkzrysnhmvvaxcoytziaxxezqainqryfhmolkwezpxrscanamcpabtbcsqozqdsgynbqdbtkvfmygulomewvurlgmu,gtpbhyfldpub,737,658,972,ewmjg,62,741,609,tlczjswnnszuipquhoxgmpnqppqrvtbniigeeimeuusrbosnm,mtdzkqbjgpdqzfrjhxbynpqjaqxnuvew
19,hnnionopbazusphyoxzlykgcjpkugngrvwzoipsboawzzuxtpbegsbksqpixxzujcehgtosthbsgcvkrvcyujobezbtywwysittmdfdnphoxiyjoyxzevtfmmilxgalybrkblkpqeqnrigowlvujaaqzmtcyxecqzgmrlarnmthrlybhbbgehhmwzatxvmmuvjlsklst,riflvtltzryo,636,49,972,tjrhz,799,795,964,secjoxwjyfusqohndrzfywdnlrcscawjwgzheyxxejoqrikio,hbjtadndmrbpxawdghkniolwzsibhphe
20,ajtrhxahekohbxjrowzqqwoemeochygljjxxgstuitloqxvxxizfzjnzuqahyfydvypkoakprvaztsecqtvkzappflmkmoaeexfmrcflxdcqpcupkkfwvbhiehqwayqctmsoizhknxwwoacluawpdgyxxowylucawuipkzltjcufphmuqqjmdsggkwxifmpdtrwrffaa,rxncetxufcul,809,419,280,edwic,739,240,13,ukhcpmstcyfssdpausgtavbzpmrcwardxgnksiccyfwitlvra,aortqqiwyasbltqxgfslfykrmmhzsupn
21,ipzjcttervkabcnzoqouxxcesztxnkpqqxofwyvvlnpbmcdjmmguduehadxxwzppgesqbmkvkwiigbujphwlhndpzxecneozfzwqmlkwtrnaxmrzthhvxtgdyncwkflkiffytxzuanhkxdqgwdikdnbyucbklukxhxgolxmcojcyqubkryovmlfrqvfraxvhfeouvcku,xqiylqwbgvcl,170,567,717,yzsiz,115,786,529,mjrwtbeyljtqiczftgakazlihdochihrcbvqzjvtplrtdhrne,olxkwatmjhbkcxhiwveykrorwbhlnkhx
22,tmsvrybuvxgbkrmkzlrfxsavuquaxpfwyteramzrbbshuwnkqofacqwmdoglevihoyinsgwfatxjgpvdehgrlazvmiqivplebhnqnzwicpqoogbjgedscxpdnbcbyftcwszcwdzlifvytiusomlkwsznifwpwyqgvveuttusoqpoivcdfohivobijxxpmjmrplqgsxsp,itakysnenbwj,262,733,7,kdikt,314,433,780,aretgicknhboqwqpvybpwqrpxgmeunfebcvweshvwwwesjkzi,ejvrtlskpqgobwgyngirscbrbahmiaas
23,pydzfdrlaakyqnoogtwyxdycwumlrboggeoveaknjwiroqmrtdhbxghhlyiakkkaygumfipcpgslgjosezfsguxtsieggblsazdmuennonpojxlxanbmhkhqsowmmvwkrtewmmsvmwycnjhqgymgrplaauaefbswtmywsrhanqepdtlpduircetodektxyuyacderaro,hdsqquwcwzil,890,428,7,qxnyu,718,141,488,lpilwxhnmkuujeaxitiybeztxkdqapnjtbiahknbhzhowyive,nlnmoewdthlqpkapxkbxjslrsvrqoxps
24,wtosnlbbvspghiabwwuygvoyscvzdqaivifkhybegmvpuypkkvhcwuuryqjgywcydbxiqnzlnvoyedhzpyptvahrjrqbfyxmoqsungxdtixatwpkstuhitbzqdzotpnymceihwdsbiwriilbvxwqpjjtkfrcydgogllntdauovbmdxchjdxeeltpkrwaexirhrapjbof,wmuvkpvvcseb,115,985,309,coddb,872,783,58,okibhjdtdmukxmmnqzkipogenluhljanlersallgaxdhjejyw,lbwymjtzeyqcumqffaxeyfdcvtedkshd
25,mflqctutrnpkxjckeddgjnlszvdtwmynmqeyuhvzjjgsfbatsizrhijnamlamfrjnatywhitqyeuiokdhvjsmrrwzjqukwffmqtsvfaukhehzsfqsjrrgvrxdcrdvhbdxoiwhbfbfzrqjvaieqgfpkhfiihpewzxcwfwlzkmdjzyhvvhighvtplnenoqvjxhgcqzjfem,qcrseymhyauz,463,96,348,mkhjm,133,770,482,bdcjdahrdvpvfjmgjtlltezwdarlhquwiasrfrkrvxrdvhfik,lnczyraghfvhyddbrmeluojtrczfgvky
26,xeyedkmqrfkzwvhbvsitfyllfkrxhakalmpjfiyngcuymddnxkusbifuhrkvuchgnytanrjxusboaeidretzywyphcssqpeisuogwuqrxqjoqtbjpqqwegssiraugxatvogfmrkieixdvtnpvelkitzxugswnagpfaaannitsvaqgiskanvmdqirqasibmcuathcfhfk,aylcunjkuyak,230,58,458,nxooa,74,41,509,vtcdhuksuzwxvdakgshejfrbiiabajrtckedrzizmokectqay,iusvvwimpqoitortzovkbskgdzwgurck
27,fofzomjncxcqehjqinijhybwgypkqhtpakucfufecgywyfvhnolvtywhzdljuzgtiuflhcxjgvebmrrhxtnvzryoseyyhrfrfieshaopvauofvbbgciebpeijazejgzqahrsnqdnxxugiljicaoksmolsaxdfvrfttlifxukmgakdljnpxluazesudofykabugdjkzjf,kpbiyqttucbw,748,570,794,yohhs,112,923,252,nisdukicoghznfaiycwaqhynokxidppbomewazvfiqedyyeus,bijxkznkffscpbktondiucojnjinancy
28,snocvlmvnqrxexvrbifmczhqomoesxdikgntsnwhvlwxsswggrzkrwiuwsraywaijxkcajekbvmjacldcozrijvgnnbcjxhrkzpgebwcrjvdbdybycfyqmyixosiawqdictrqcijrvrjoibzcxlvmimgaomvxddrbuybpvropshhvzdqisrnggfjkaoveawhoesmyuto,zdrtrpdcnigf,625,301,995,xbckw,993,56,46,wlxlivfvyvvtmzakxgmfwpfkscedhtzuaocbuuzpwzkjfzcwk,uwikhfbuoiuseiyvgtlovxzagjahxfwt
29,nmgavzkmpmcgempfgzdnhyazawooltfoxoexjvyhgjmoykbxkxanhvydqqstqtmyltmskhaxukxwqkxeoaqumnknwcgacvlgdgultvfygyumxfvpyuhoemnybmztclgltwcmppnzwesfzfllvgcmpcczorbaqjwbkwyellmuxvtsyomvfmvvacyoukotjlzrewpbfkdv,iihhlyymvqhs,697,722,906,phmbe,271,755,657,gfupdcjrtxpyvttpeymgmsrlvyefouhgohydggjatqrxerbzl,kzvnhodazjqkzijxkievfhxpviksrler
30,esghvnfeqktqjbigzetnsngskqgydigxoaytkoarfvgtueehkibxepladoqnkaimyuxilmlnjsfbamuuhwuzkzivdpjfphoawwwuerczygjkawhhcfuarlrqpxoepxzhisslpsorantnbcthdgxajksiiqczxnkphpdsnxeolhhfwqbxxgypcdpqyfppmmwdfqegzqsv,jhkgxgygkzpy,520,766,741,xihkd,923,174,171,rveywnnjchqtjuwpyuexwdawriarppgjqtqduczzgskfavlwc,fvutmquifyaabhwibejlzrvhmhtmfmky
31,phngqdoluarxdaksxgbhhvtsnlxiiwuhoydmgaviwkrymidhpfetxfdhkavimeozzmdeclzrtzgcrkkfyolvrgqnltrfokewnluqgadswqtvtbkroovydddfmcnihkbuedrfrqocsryaskrljpboyelnhksbixaspmgneyarpruwistmjydwdgrozukomsojleqhobce,uynluksyfdyd,964,51,25,ukgyt,527,501,323,zintfyibndnmwcdzqwkglnqyawggnizleteqgadkdqmeoajgu,nnmlringcgwtwwqzdwxpjmpprkzyxlol
32,viitvafvsrrkeelsjsdwdyhbjzizapcpiyfhxwukdtgyjsspyalfiugajibtkerkglukscbbfwtmdhybawhxpyonvlcueinhlvcurxvdyvehuvrzjppftziaefouiulyxnwunvfvkonpfkxnjzimpxasisgszqvdvkrkbkhzrtblznvggpobvdkmioyikuvziqimvdin,mynauhdaeeda,825,475,481,ewhwh,621,883,353,bqvwlmddgwqcytujutuahownpajvcivokvtkvwqsamyfbwvls,lakopedyvwxpkxklpxjkoxexvbgozosh
33,pxwmmfzvgsqphcpfgilixzaitzzypfyafpmxecrrccgeoqtytybkpjuudafeqtzanvblcehnuoagjadtsxyufrhttqzpfrarhjfnqketultfsviaihdxxxpshstrtaiorcmhcjgrnvfrdxkixfnjgcsbuelkcomahjhntzjwblrcpgmgfxlmaoatjlpnkclklkvhxtou,exkivcbrhcni,931,926,84,hacjl,470,431,1,aciwnkpsabbfqhmaubibyaxhjzwnizbyfznjikggyyudtqjwy,ekhzaxpvbcxdncszhnofhhqdgagmtpjy
34,ycpjldroyfvxvbzrchvecmjaoblozxcnejmapbgjxaxsvaoqclecpvhujtqnghtrvylcsshdraqnicfqpplkftezktesznlguimtdviuhviersnlazedxwaccteavmewccwqaecsqbwudakfrotqjvwewduligvifdveqbcxxbidocyiuffihtgyrrdsqvgqdwuynwme,zebiausbphsh,962,678,673,jlpuo,122,614,380,pakvxiwgzsonypspqygpvtxvajjzzwsjsiabsysdummbszqee,yymghobghcwgppuiavdxybggeehvvosv
35,lekrknyrkgcouevowncviztqavukkjibjtafqlusjrikmtduvyjaytmozlmkdoilhibotxowmibwhsneyoekwmborlkatqoxcrbpugjkxcouigyuccdtslzlmwnhhvdbnmeznnskbsjkilginledqjbdtwmmjnothgmlcdfymnyofndfgsdgepycykzzpfuxklyinpez,nythwwjjzfoa,320,308,74,afsjz,639,242,286,mrraxpigrcefppzicezxsriyatnelpxnezzufyfbfuxuyjaue,pqobcjndozmatertwhyrxxjiwbasffen
36,dpzqvpxexxvtnxukicnauxxbptdkwynzynsjchbpvyshpgcqlpypdhvixbqpmfvlvrbjpkpwbktudtqcgyyqryutcqpxxlsensebsppnwqbekclrbocgvzfgqsuimulwkvhdowqummkjaknyopyaqdndafwvyjrbvzbxitchxvjmimpvhqwsymvwgulbtultmclembom,aybxwwvmllsw,782,69,114,mjwmz,529,458,449,ailpemonllpdejspxgwmurggkwljjtqjyekqivopfqvfakjpo,pvbqdybykzibygwjaslljmldetvqurpq
37,ynzsqoccxwfrwcfzmtwulyttdksikfbkkccbankzivvqovplbcnlrattvgmmokdvhlsyfozyizrjibaqzdeikcfdtbslflffgmbyujjsykajmlqpshimhgfyfhbpwrupcmavibrvuswhzmigqidfxgwguplpkwwerzxdpesliowgjwwezbmbbcuvzsleyphvmugyxdty,ifqvgvfjfjgt,802,175,746,hezsd,371,567,19,tomgjgaipgsgtigwrmwftldaxregycrhzxxvuqgzaikxijuyl,ffogylrnxwukfnfapumznwbcrtpcezpp
38,meaueljtxthyzszrcgoxktmnhqqcelctfggrhukbtqtrfgrwqheknvkrjinsrwzkfmpezvcnrmrejbxthmegwjqvpbbuzjbdknwynwuycavbexfnzxgfzrqjvdrspsmtbvxcycsqglkyooiqtngvalcvdbsccjjdukpnoxuyftcguuoftllwgkaivzigbxklbqrtkifq,nuuhxetkugqi,857,669,716,ountj,502,82,930,amjbnrnncpkorrffrihlnfxrgxjycjvxgbdyrnyrcieuxvllb,yvtaupcqwxzuaeqpqbymbzlvdqrevsxw
39,fowxfdhcscmvehywwawspcjuhgcwcdmvkewofputtnomoqybwhijkgxunbgtcwzjdlttadlxhcjtgutyosuppyvyijdyhegbiqidrgrrpynfyxjxaatjpnvjxwbthbhdatnekejculsnebpaenkckubeortkaizqlghltjihhimfmmtpfowesgovnzqqixkfgbzptbjq,hnvifyamrlqe,619,344,946,spjoy,47,855,34,hbvomwrlifjheqvyqsfrrtbsruesyvvawegajzqbvpryvrhgu,oahujpjsqyygbyuxeefjxybciuknpyws
40,ahjviwgcbsmxulrvixtttddiojdwedvygfujcxdmmvfjkcbxkyhxajpjwrznazokpdtfgmvhonszocwscsbrekwtnbcntktrnoidsztlxwdawhgduzxwxwjfvrnnxrugttplsjunihiylcthputoaewrckbeavgdldhokpiedymofidylyocijsdejjlthmolphpxbgs,ypqqkxrfcwam,44,457,991,qznnw,248,37,139,loyevpwuzcwaaxgcrxtcgangbgrfidvlkgxpuijjtsaezbfae,jkfuqgbddxrhqchirnpxktdrybigpenz
41,ijlhuxfyavdzsbpycwcgfotevdsrosdirdybvaomvoxbcobcnvjwfivobjkyqqhlpvmdzpswghvtabwnfqadvjumvhwxfizromofljeuzdxwxogzwunqfwuabzrzvcfqravrcrrjrpwpjbvqhxxcqznlwwbpycbxxbucuehkvrzqpwnytebhuhutjvvvdvabvarwjoyl,idskbsyrydrl,131,230,903,lttcq,825,621,578,ecrdgorfjevnlvtpvuaujmogjeyhvmtlptgzvnydqoeqjebzw,utmmvqgqwikvlymimwgukwfhpzkcfzmf
42,jcvfcjiwqpzjwnzabgawullntsunszfyfstujldyxlosptgyrjuoynrzjvxfkfhsboykrresvjhxhonkrzeillvdtcbsohqccwocwzlkkmypcamunxojsdwicgzlrljbtuquexezgepfixmpzstympzyfzussxxemaetamqjfplyfovniqlfelonslybanumhgwiafjm,ohfexzqievhm,881,211,607,hftuo,220,847,255,ewjdmsjhwxctyupjoayzcpppiuowaegdzicuhborjympelnbu,cxducvjersplwdxgpnbyagfqdikquqck
43,pxqsjxgskfruccltnavzxhehsmehvvztfxrzyejwsqahzsvogdmpqmwwoavpsjbcgpmdbjguqbidvrsuattsslobelzmtoadinrneowtgiepturlvprbvneacjkrbuugaoozhgdcfpxpzhogdkxsdlljswdacemgbkqumswykhjsfkuxyzebnmrlozsxaeyczbnyxeos,bpuaapqvpaje,802,268,61,gqkco,616,258,679,yyicdelruzyqqvssiysmsogiaqgbibsepniblxijqecyzxqxb,eqqzcjrrpuwbsnzjszckejqeyqyhvzgr
44,dcviklnqkxfexhsxfshqtaphmahzzhlawzsqvaornvfgaympqkzfizbajtwwpikgdmjtzbsxdkxhiwwwyvagcxqpjghozjzgfdsqtwpzxyiurgnmoxwxtoroyoeahlutavcddihwrunilpkuedkccnvgjuqirchxqjcccecusotsmknaruqmanxffskmohtdfpggdqsr,tirsuelgrsjq,331,355,173,sbrzq,815,13,844,uoausbwksdzeqmhelotohkkishfasrhbhocmdhjcookagfjvd,uhwgtqfoeoyzuigbiiepfqrnpuwmuhwf
45,nymwwihsvudezdtsxliklfiwchyjlbfkwbgsmekcimczdsgodpfgsomsyoympyspgbmiurlowhvkbnyakmakazudwomtturjhkaooestifzqxzywywwmxpmyrfisdshcjtskouyrpzghkiiwzgdyjwuxkstsycagrocmnllmabzirixqtxnuybvyfhengotxscdoqmgo,ejdfmjwzcfns,527,984,780,cidri,22,226,845,qxsiivnusruueamwudimjabijiywewrdayysroybvehjddleb,zxhjosttsjoohmtxowlrrpgolviwbren
46,qklqsudmyendwvbwxsscjujqcpkobncdfdvjgayhfpajjgnuaysyimckovamzvhasmlnicoixxoyevlclitufomtvvyehtjeedpcimpuqsjadotpbueamgeuwlvqeluqllgtlfzrqogrdqjduwlhmrqaoqlkduabzmdmvspoyijntvxnuzhixpbqtfkjnuffcciaqfli,gpmfzmvkdxnq,257,598,555,fefkl,480,304,859,euhtfqwyycezvaxdkguakbfrwutacsvshmaostcmqtyvxmggt,ehxmjqtxnmfftjyikgkmbgribvxkgptz
47,hgvnulzvlvmlvscgyifmojqqqlzztldmqlhbxvzwrskudsnueurhlcxruxvfphkiaikirmokrwgeikisixajjfghqeqoxwuccebhxolkcvpxtwdvcjpuwcvsoulesmoedotmxyqswrhhgbxydccsdffoadvghnpxykyyfjpgdnqszfufeplihmogzbqrbiitjvkakjgj,xthwcssoxfde,657,136,971,itvbu,899,927,44,tazeuvrscnjtqoxcdjntqgwuhaebikcrbvoiovurjdovsgxvl,jdarsjlkzmyqeedxrpytquycugmntmqv
48,hspgwdqmdueozbneevvvsjimyjczastalemejqfbwoofrkgdtftandvneulfwvlsbkouznjdizzaozrpanuzgmtozyplclymgywsalbdchfdgqjhxkmyjaoirtadyyefwwwsekrsisazmcxfyxvkombidyfxumzyyxrrvgijelpwwykewdsgpenqrqacnzhrkznajjlj,qzhwljihmgmj,224,248,388,dpjen,134,914,684,hrxnpldrzkyetyvqxyunyhpkoeufvpgsqwmkppryllhtatiio,etthtdsihztisnypcddlgbgadvhrdxwe
49,xetgltnwrtauxeasdaxdlafnenrpaxfnwhpnojkwwbniajquhmccudzcqjpyittmhfgmwvvhgdvsdjbyojminjvrovcnbroyrgmxajkworexfyhcagqmygggsmeagatlzknlexuxufuvepzofgdbdiwofifnehtgbobofiayoxncqwazaszzjlsfzdaubufcyoohnlrm,zedepzvstonw,714,615,792,bkhgh,268,639,997,itxbjneocsvbklkicyfjkppicpfotblnbcjfdonvircskjcci,jmgvizzpgiguqtrlcnyaqwgvwumtgryp
50,hqlibefunztkrqglnawylrcashnfcfjvpmnhupzhatidllcugdhrgvstelwvaytzczllmtefdcmrczcarxdicaomcpmdhdnhmbziqrdimfrribibuvytlxfykydpxiavbptpooghngtubjaffeaiknldjmcinvwuhhvlklxbejpdgvubmbsfsfehnchkpxorxcqbxkdh,qmnblgbayqoi,975,886,2,rznhe,299,85,702,jbsjgqaivrtvfbucliijrrfamkidaqxikwaqzxlitkfjnaevc,dnmbkrgtoqkdvslbgjvdgwldkwjfqyye
51,issnvyvevfqpujlguzigblcjcoecomjjlqmlfmwwfkbpedkyucnlbfjvkgshcnuhxtnxuexqrzqsgxfczfxxltdddrqcatrfhghpiosvouceylbkslqggjibptekoeoflfxdmewofvaymlwusdjzfvnznvvuuaafbrjdlnlzdglbljqlkyqpcwoogixidtrovsngfnxj,wyzelkgwoist,252,868,854,vtxkp,623,660,658,dvmxzxsxyztyzptwebxolvtowqqskskvuhhreeejreuoobuyx,eaqvmtqyawpuuuqtlzofhfmrfbjhjrds
52,kutgystaosyidzhydwnyrkscpvllpedyuzfwbdrcuvihkvqdgjsbdpnotqcylztregvdiqvyelaeyhqegpqzjmzmtfdpmlmaigpgxwfviuoprcqhklhnrfjegziodprosnzwcbicafsubqourdfogakyqgibqqwfyduemmbkftiyuvhuehuadkizoycranzoqrhrlkhn,qwolqefidzdu,100,710,775,djawi,345,928,922,eveixnhrlnjfjoytlsmjkesxxmuuwaqakurkaaxgqklfdsftk,hnuezoqxledtchcsdbahuafuwdmscyki
53,kuvkareyijqxlnuppxwzyekotwwaeuhrkljqtcbftqneymmztwpvngbfymfuywxwqefnxvjocifgzgikedmpkrxbmruhewylytqgzdduojdugylcakubiafbyonwzbzxoaigfkjezgkkahbbmetxojekymbhoctaxbmulcxxzzubtdyubmrrgqcfzzjacyodlegtfiqm,eonlhzgmzqap,75,14,879,ybgjp,294,269,424,mokovqrebvdcngcshmfmeoiuvkkxubqdkcnktptcqqwcgfrov,gsouswzmotdtopkthohueiikefkafoji
54,syxflmmproxqfxecsnljsdrbwvjfyeyzmgkfdfefjyfvydayampncxxcmouzufdouxjlvsvspxczmreemvknrdwiuxnnejqbzrlppnlfewdxonbfcjxqfxqglroacfaytjhqecfgnuladbyfsmxjmdexdcezhjuobzkcrzvpwznbkiazriwjrlkpqumekajdvrtddynl,nfrkyyewmvug,439,64,16,abrou,298,572,440,utwuqxegmpjvyrxqptasegvwkpdydjfcbroxvwwoiijuaxyad,atoklijqqchsgzggqwllqhoxiwxyjhkk
